hyperparams,start_date,train_val_ratio,metric,t_statistic,p_value,significant,cohens_d,mlp_mean,mlp_iqr,mlp_q1,mlp_q3,tft_mean,tft_iqr,tft_q1,tft_q3
1,4,90,sharpe_ratio,-1.6151,1.1560e-01,False,-0.5107,-0.839,0.9488,-1.4424,-0.4936,-0.4438,0.8646,-0.8965,-0.0319
1,4,95,sharpe_ratio,-3.0701,3.9908e-03,False,-0.9709,-1.0723,1.3778,-1.6683,-0.2906,-0.2972,0.6824,-0.6911,-0.0088
2,1,85,sharpe_ratio,-8.1446,1.0138e-09,True,-2.5756,-1.465,0.845,-1.9417,-1.0966,0.4975,0.8158,0.0736,0.8894
2,1,90,sharpe_ratio,-6.534,1.1601e-07,True,-2.0662,-1.275,1.5127,-1.8926,-0.3799,0.6448,1.2859,0.074,1.3599
2,1,95,sharpe_ratio,-5.6916,2.6005e-06,True,-1.7998,-1.6094,1.7064,-2.2605,-0.5541,0.1836,1.0285,-0.5351,0.4934
2,2,85,sharpe_ratio,-4.5792,4.9678e-05,True,-1.4481,-1.4326,1.1237,-1.8905,-0.7667,-0.1503,0.9418,-0.6465,0.2953
2,2,90,sharpe_ratio,-6.8451,5.3603e-08,True,-2.1646,-1.6564,0.7827,-2.0845,-1.3019,-0.0797,0.587,-0.3819,0.2051
2,2,95,sharpe_ratio,-4.7949,4.4643e-05,True,-1.5163,-1.8145,1.7137,-2.6705,-0.9568,-0.3348,0.7341,-0.5998,0.1343
2,3,85,sharpe_ratio,-5.9308,1.7798e-06,True,-1.8755,-1.1286,1.1371,-1.7237,-0.5866,0.5397,0.8781,0.0802,0.9583
2,3,90,sharpe_ratio,-5.8315,9.8391e-07,True,-1.8441,-0.8184,0.9167,-1.3675,-0.4508,0.5318,1.0763,-0.1508,0.9255
2,3,95,sharpe_ratio,-4.5899,4.7666e-05,True,-1.4515,-0.856,1.3333,-1.5071,-0.1737,0.2598,0.8856,-0.2828,0.6029
2,4,85,sharpe_ratio,-2.2278,3.1908e-02,False,-0.7045,-1.0787,0.9109,-1.4947,-0.5838,-0.5151,0.9484,-1.0334,-0.085
2,4,90,sharpe_ratio,-1.2712,2.1140e-01,False,-0.402,-0.8398,0.9221,-1.2828,-0.3607,-0.5622,0.7815,-0.953,-0.1715
2,4,95,sharpe_ratio,-1.6959,9.8771e-02,False,-0.5363,-0.8386,0.7581,-1.2474,-0.4893,-0.4718,0.7979,-0.8788,-0.0809
3,1,85,sharpe_ratio,-6.5579,2.0627e-07,True,-2.0738,-1.3979,0.9283,-1.8611,-0.9327,0.1621,0.4058,0.0139,0.4197
3,1,90,sharpe_ratio,-9.5254,5.6757e-11,True,-3.0122,-2.0629,1.1085,-2.5901,-1.4817,0.2679,0.8551,-0.1532,0.7019
3,1,95,sharpe_ratio,-9.3087,2.5401e-11,True,-2.9437,-1.939,1.0059,-2.4327,-1.4269,0.2249,1.0268,-0.318,0.7088
3,2,85,sharpe_ratio,-3.5488,1.0628e-03,False,-1.1222,-1.6241,1.5798,-2.4222,-0.8424,-0.6323,1.4334,-1.3131,0.1203
3,2,90,sharpe_ratio,-6.5918,9.1127e-08,True,-2.0845,-1.8354,0.9475,-2.3366,-1.3891,-0.2497,1.2183,-0.8207,0.3976
3,2,95,sharpe_ratio,-4.4108,1.0959e-04,True,-1.3948,-1.4677,1.6523,-2.2582,-0.606,-0.3144,0.9549,-0.8717,0.0832
3,3,85,sharpe_ratio,-6.7362,5.7464e-08,True,-2.1302,-1.0548,1.1286,-1.5621,-0.4335,0.8607,1.3873,0.1659,1.5532
3,3,90,sharpe_ratio,-7.0419,5.8995e-08,True,-2.2269,-1.124,1.4418,-1.7904,-0.3486,0.6965,0.9494,0.1741,1.1235
3,3,95,sharpe_ratio,-4.4917,7.9084e-05,True,-1.4204,-1.2637,1.2835,-2.0671,-0.7835,0.0628,0.9948,-0.3859,0.6089
3,4,85,sharpe_ratio,-1.4148,1.6615e-01,False,-0.4474,-0.9399,1.3676,-1.5574,-0.1898,-0.6087,0.4971,-0.9484,-0.4513
3,4,90,sharpe_ratio,-2.0278,4.9672e-02,False,-0.6412,-0.837,0.543,-1.1176,-0.5747,-0.4313,0.6476,-0.7296,-0.082
3,4,95,sharpe_ratio,-1.0055,3.2100e-01,False,-0.318,-0.8493,1.0079,-1.3555,-0.3476,-0.5615,1.0838,-0.9812,0.1026
1,1,85,max_drawdown,6.0497,4.0979e-06,True,1.9131,0.0663,0.033,0.0463,0.0792,0.0312,0.0085,0.0264,0.035
1,1,90,max_drawdown,5.6819,7.0541e-06,True,1.7968,0.0575,0.0296,0.0398,0.0694,0.0269,0.0124,0.0201,0.0325
1,1,95,max_drawdown,4.0611,3.8076e-04,True,1.2842,0.0559,0.0241,0.0429,0.067,0.0356,0.017,0.0282,0.0452
1,2,85,max_drawdown,4.645,6.4822e-05,True,1.4689,0.0687,0.0362,0.0481,0.0844,0.0423,0.0188,0.0324,0.0512
1,2,90,max_drawdown,5.1069,1.9824e-05,True,1.6149,0.0813,0.0322,0.0647,0.0968,0.0414,0.0222,0.0308,0.053
1,2,95,max_drawdown,4.9863,1.9113e-05,True,1.5768,0.0746,0.0276,0.0612,0.0888,0.0413,0.0308,0.0279,0.0587
1,3,85,max_drawdown,5.3187,1.4646e-05,True,1.6819,0.0603,0.0285,0.044,0.0725,0.0267,0.0154,0.0187,0.0341
1,3,90,max_drawdown,4.7401,5.4376e-05,True,1.499,0.0509,0.0308,0.0356,0.0664,0.0275,0.0106,0.0223,0.0329
1,3,95,max_drawdown,4.1594,2.1281e-04,True,1.3153,0.0632,0.0292,0.0512,0.0804,0.0422,0.0177,0.0339,0.0516
1,4,85,max_drawdown,-1.0846,2.8647e-01,False,-0.343,0.0629,0.0379,0.0435,0.0815,0.0701,0.0205,0.0607,0.0812
